,id,name,username,created_at,protected,verified,location,description,followers_count,following_count,tweet_count,account_type,tweets
0,1649656506,☆ stuart ☆,stuartIittle,2013-08-06T06:57:13.000Z,False,False,,,288.0,282.0,20377.0,bot,
1,400802777,maite,maitemc_,2011-10-29T16:04:28.000Z,True,False,"Mar del Plata, Argentina",feeling insecure and aggressive,240.0,384.0,22905.0,human,
2,27772095,noah,NoahMunck,2009-03-31T00:38:58.000Z,False,True,,,960070.0,0.0,49.0,human,
3,743337278068531202,Emily Ratliff,emilyratliffetc,2016-06-16T06:59:52.000Z,False,False,,,10.0,106.0,0.0,human,
4,739645214491451395,pete®,pethaho,2016-06-06T02:28:55.000Z,True,False,MA,diffie💕,140.0,131.0,5200.0,human,
5,7324992,202-224-3121,ejg2,2007-07-08T08:11:20.000Z,True,False,,In Conversation… with Frank Schaeffer,1250.0,1043.0,185.0,human,
6,3415721413,S9U,handsenxu,2015-09-01T14:36:46.000Z,True,False,,坚持自我的傻逼,0.0,92.0,1651.0,human,
7,823807595865468928,Danny,Dodger_818_LVT,2017-01-24T08:20:11.000Z,True,False,"Corona, CA",,13.0,82.0,2509.0,bot,
8,31180753,B,brialanayy,2009-04-14T17:58:11.000Z,True,False,  ,B. she/her. ✞ #BlackLivesMatter,44.0,445.0,13373.0,human,
9,1624469346,Charlie,gizmotrinket221,2013-07-27T03:43:38.000Z,True,False,the bad place,"+18 the god of poorly written smut, ill-advised caffeine consumption and swearing in apologies for swearing. they/them, hän/hänet/hänen @gizmotrinket for fandom",493.0,345.0,12670.0,human,
10,3145976002,PowerPoint,PowerPo1nt,2015-04-08T00:14:20.000Z,True,False,,Living life.,105.0,191.0,2553.0,bot,
11,3222784452,👻,Willy_w0nka1,2015-05-22T01:42:37.000Z,True,False,"Stillwater, OK","As long as you love you, someone does",434.0,258.0,9099.0,human,
12,99076602,于xxxxxxx,winkey52136,2009-12-24T10:10:22.000Z,False,False,,,16.0,56.0,584.0,bot,
13,81775109,Jordan Siahaan,joedevl,2009-10-12T05:57:58.000Z,True,False,Indonesia,"Aimer Enthusiast, Jack of all trades master of none",364.0,466.0,12483.0,human,
14,18336278,Gobble Gobbledygook,Jenn_Tisdale,2008-12-23T16:32:22.000Z,True,False,"Washington, DC",Too Many Jennifers,5669.0,3968.0,36696.0,human,
15,4821863061,Anna,AnnaFortunato26,2016-01-17T19:23:15.000Z,True,False,,DREAMER,593.0,2555.0,11635.0,human,
16,3086994153,ana 🌪️,bundadoney,2015-03-11T15:15:39.000Z,True,False,,@neymarjr @justinbieber ❤| #Belieber #Neymarzete ❤ JB seguiu 13/01 ❤ fan account,723.0,1701.0,47445.0,bot,
17,1004048100355436544,ki✿,elutroye,2018-06-05T17:11:36.000Z,True,False,,🌺 fan account 23 blm 💗💜💙 they/them,73.0,571.0,657.0,human,
18,235916106,Lauren Coveney,Laurenasaurus95,2011-01-09T11:08:04.000Z,True,False,essex ,"I'm not saying I am batman, I am just saying that no one has ever seen me and batman in the same room...",92.0,327.0,253.0,bot,
19,45861757,gil,gilalbertson,2009-06-09T15:31:20.000Z,False,False,Brisbane AU,"Fußball.
@BrisbaneCityFC",1004.0,795.0,39908.0,bot,
20,3244805072,akani,stronger2552,2015-06-14T04:31:42.000Z,True,False,,180 cm,7.0,237.0,219.0,bot,
21,959870242603307010,Cleo Collier,createdbycleo,2018-02-03T19:24:34.000Z,True,False,"Tennessee, USA",I am @artapoelc,35.0,81.0,352.0,human,
22,773266,"Veronica, thinking thoughts",blackunicorn,2007-02-15T05:35:53.000Z,True,False,,she/her.,615.0,1095.0,17159.0,human,
23,307219650,Karen Carroll,KarenCarrollMGD,2011-05-29T07:17:47.000Z,True,False,United States,"Singer, song writer and Blus Hall of Fame Master passed away march 9 2016.  RIP and bless you for your selfless spirit and joy.",194.0,539.0,4410.0,human,
24,3226979792,Poornachandran/Jack,Yuvhashana,2015-05-26T09:42:20.000Z,True,False,"Perth, Western Australia",Partner to build your wealth.,48.0,551.0,1661.0,human,
25,493342381,Sarah Richmond,IamSarahRichmnd,2012-02-15T18:07:27.000Z,True,False,here and there,"whalers suck. climate change is real. black lives are needed, important and wanted. always wondering. be kind. 🌈",112.0,666.0,9707.0,human,
26,154652598,.,Jerremeus,2010-06-11T21:05:45.000Z,False,False,,.,236102.0,1018.0,41.0,human,
27,73650128,Michelle Demishevich,demishevich,2009-09-12T14:11:33.000Z,True,True,"Berlin, Deutschland",Journalist | Profile photo by Martin Bichsel „Istanbul-Pera-Babylon Club“,10634.0,666.0,34978.0,human,
28,158846941,Smooth Blak,Yo_Gabbss,2010-06-23T20:29:08.000Z,True,False,Earth,The price of freedom is death - Malcolm X | Afro-Indigenous,207.0,119.0,24895.0,human,
29,903073842,Baeman 🇲🇾,aimanakhyak_,2012-10-25T02:49:35.000Z,True,False,"Perak, Malaysia",Ain yang garang 👆,585.0,633.0,13178.0,human,
30,238014569,Josh Crochet,joshcrochet28,2011-01-14T04:43:27.000Z,False,False,"Caillion, louisiana",,59.0,0.0,1212.0,bot,
31,533713069,Cesar Delgado,Cesar_DFT,2012-03-23T01:08:30.000Z,False,False,,"Consistency breeds change. 
Here to help you look good, feel great, and live healthy!",702.0,294.0,5360.0,human,
32,849620687723606016,maricel carolina❤️🇨🇱💚🍷⚓🐱💃😘,maricel_carolin,2017-04-05T13:52:11.000Z,True,False,"Santiago Metropolitan Region, ","ande c/cuidado,eduquese lo + q pueda, respete para q lo respeten y q la pachamama nos ampare! Amante de #Chile el país más lindo del mundo ❤️
Lo digo yo y qué✊",2912.0,4756.0,25171.0,bot,
33,413651314,raana🥀,ohrayfancyhuh,2011-11-16T03:32:48.000Z,True,False,,MSU Alumna🐶,2075.0,1336.0,37035.0,human,
34,1690030483,mack,mackenzbrown1,2013-08-22T04:18:46.000Z,True,False,ca / nyc,,657.0,566.0,8665.0,human,
35,868471188,eve,unhhhhs,2012-10-08T18:39:44.000Z,True,False,ic:satochild,,2635.0,96.0,60832.0,human,
36,2746733423,domi;,bizzlexl,2014-08-18T20:53:36.000Z,True,False,la with w,czuje sie jak milion kiedy obok tyle zer,1817.0,622.0,117936.0,human,
37,22270880,Matthew D'Arduini,matt_darduini,2009-02-28T16:35:27.000Z,True,False,"New Jersey, USA",arista records | last nite,1446.0,512.0,248.0,human,
38,1847841714,danielle ;),_danielle_2,2013-09-09T15:58:47.000Z,True,False,,,47.0,305.0,701.0,bot,
39,1372574677,Andrew,andrew_austin_,2013-04-22T16:46:32.000Z,True,False,Dunfermline/Edinburgh,That’s a bit of a weird analogy,328.0,301.0,2494.0,human,
40,20960427,Mônica Miguel,mrgm,2009-02-16T03:44:37.000Z,True,False,Brasil,"♫ Music is your only friend,until the end♫(JM)♫",142.0,156.0,7146.0,human,
41,3436434753,Somebody,touchmycubonerr,2015-08-23T08:52:50.000Z,True,False,,This shit got hacked apparently,0.0,289.0,2997.0,human,
42,899052173027364865,Junie Musa,musa_junie,2017-08-19T23:35:16.000Z,False,False,,.. Filha deeus,0.0,0.0,216.0,human,
